SampleID	Type	Collaborator	Collector	PBF.Year	diet_family	diet_class	Location	rough_latitude	rough_longitude	CaptivevWild
NA.f	NA	Peter	Markus		phocidae	mammalia	Cochrane	49.065	-81.0299	Captive
NA.B	NA	Peter	Markus		salmonidae	actinoterygii	Cochrane	49.065	-81.0299	Captive
NA.i	NA	Peter	Markus		phocidae	mammalia	Cochrane	49.065	-81.0299	Captive
NA.j	NA	Peter	Markus		phocidae	mammalia	Cochrane	49.065	-81.0299	Captive
NA.2a	NA	Peter	Markus		mixed	mixed	Cochrane	49.065	-81.0299	Captive
N.2010.4	zoo	Peter	MTZ	2010	mixed	mixed	Toronto	43.6532	-79.3832	Captive
N.2010.2a	zoo	Peter	MTZ	2010	mixed	mixed	Toronto	43.6532	-79.3832	Captive
I.2010.2	zoo	Peter	MTZ	2010	mixed	mixed	Toronto	43.6532	-79.3832	Captive
I.2010.4	zoo	Peter	MTZ	2010	mixed	mixed	Toronto	43.6532	-79.3832	Captive
PB.17474	PB	Peter	MDES		NA	NA	Churchill	58.7684	-94.165	Wild
17C	Numbered	Linda	Linda		mixed	mixed	Churchill	58.7684	-94.165	Wild
66C	Numbered	Linda	Linda		mixed	mixed	Churchill	58.7684	-94.165	Wild
76C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
84Ca	Numbered	Linda	Linda		NA	NA	Churchill	58.7684	-94.165	Wild
92C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
97Ca	Numbered	Linda	Linda		mixed	mixed	Churchill	58.7684	-94.165	Wild
102	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
158C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
182C	Numbered	Linda	Linda		NA	NA	Churchill	58.7684	-94.165	Wild
196Ca	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
257C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
296C	Numbered	Linda	Linda		mixed	mixed	Churchill	58.7684	-94.165	Wild
297C	Numbered	Linda	Linda		scolopacidae	aves	Churchill	58.7684	-94.165	Wild
337Ca	Numbered	Linda	Linda		NA	NA	Churchill	58.7684	-94.165	Wild
339C	Numbered	Linda	Linda		laridae	aves	Churchill	58.7684	-94.165	Wild
340C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
341C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
342C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
344C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
345C	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
347C	Numbered	Linda	Linda		mixed	mixed	Churchill	58.7684	-94.165	Wild
350C	Numbered	Linda	Linda		cervidae	mammalia	Churchill	58.7684	-94.165	Wild
351C	Numbered	Linda	Linda		NA	NA	Churchill	58.7684	-94.165	Wild
364C	Numbered	Linda	Linda		NA	NA	Churchill	58.7684	-94.165	Wild
366	Numbered	Linda	Linda		anatidae	aves	Churchill	58.7684	-94.165	Wild
