Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
negative_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D-serine	-0.0349	-0.0373	-0.0557	-0.0632	-0.0227	-0.0074	-0.0381	-0.0624	0.0031	-0.0434	-0.0095	-0.0267	-0.0466	-0.0389	-0.0136	-0.0657	0.1022	-0.0381	-0.0103
D-glucose-6-phosphate	-0.0123	-0.0096	-0.0079	-0.0066	-0.002	-0.006	0.0039	-0.0195	0.0161	-0.0053	0.0058	-0.0063	0.0307	-0.0064	0.0003	-0.0076	0.1139	0.0028	0.001
L-asparagine	0.054	0.3785	0.321	0.3849	0.3385	0.0095	0.0358	0.4739	0.5624	0.4569	0.1413	0.3776	0.4624	0.3951	0.3048	0.2704	0.5398	0.1435	0.3243
L-glutamine	0.0409	0.3054	0.1488	0.4861	0.4363	0.2256	0.2725	0.437	0.3897	0.2875	0.0808	0.3762	0.4	0.1053	0.3298	0.1742	0.2282	0.117	0.2249
glycyl-L-aspartic acid	0.0683	0.4329	0.2048	-0.0169	0.2246	0.001	0.1152	0.1549	0.1818	0.1991	0.0032	0.2143	0.0781	0.223	0.0048	0.2107	0.1929	0.1158	0.0051
glycyl-l-glutamic acid	0.1036	0.5071	0.3536	0.0044	0.1353	-0.0063	0.3986	0.5195	0.3595	0.4177	0.0998	0.2082	0.3597	0.3134	0.194	0.248	0.5121	0.2052	0.3296
glycyl-l-proline	0.0472	0.5164	0.3967	0.4003	0.3488	-0.0013	0.4845	0.5317	0.3845	0.2282	0.0583	0.3433	0.0943	0.4527	-0.0095	0.1759	0.5739	0.1241	-0.001
L-arabinose	-0.0086	0.0267	-0.0241	-0.0314	0.4771	-0.0162	-0.0183	-0.0211	0.0093	0.0086	0.0027	0.0132	-0.0056	0.0231	0.0331	0.0181	0.1071	0.0063	0.0041
D-sorbitol	-0.0175	0.0041	-0.0223	-0.0121	-0.0478	-0.0035	-0.0204	-0.0208	-0.0684	-0.0125	-0.0182	-0.005	0.0157	-0.0065	-0.0008	-0.0193	0.1578	-0.0038	0.0092
D-galactonic acid-y-lactone	-0.0089	-0.0413	-0.0549	-0.0672	-0.0445	-0.0198	-0.0392	-0.0243	-0.0785	-0.025	-0.0055	0.0134	-0.0231	-0.0154	-0.0059	-0.0594	0.1527	0.0166	0.0106
D-aspartic Acid	-0.019	-0.0027	-0.0299	-0.0225	-0.0564	-0.0164	-0.0145	-0.0232	-0.017	-0.0444	-0.0051	-0.0024	-0.0144	-0.021	-0.0212	-0.0081	0.1515	0.0038	0.0157
m-tartaric Acid	-0.0263	-0.004	-0.0439	-0.0215	-0.0357	-0.0074	-0.0035	-0.0424	-0.0445	-0.0357	-0.0122	-0.0022	-0.0426	-0.0344	-0.0122	-0.0503	0.1835	0.0248	-0.0035
citric acid	-0.0268	-0.0525	-0.0588	0.2746	0.1729	-0.0041	0.0555	-0.0444	0.3098	0.2218	-0.0083	0.2085	-0.0144	0.0688	0.2132	0.1488	0.1571	0.0013	-0.0006
tricarballylic acid	-0.0188	-0.03	-0.0491	-0.047	-0.0566	-0.005	0.0032	-0.0332	-0.0511	-0.0259	-0.0037	-0.0043	-0.0223	-0.0248	0.0059	-0.0081	0.1773	0.0161	0.002
p-hydroxy phenyl acetic acid	-0.0106	0.0024	-0.0157	-0.0144	-0.001	-0.011	-0.0026	-0.0439	-0.0129	-0.0268	0.0153	-0.0015	-0.0095	-0.0088	-0.0047	0.1328	0.1787	0.0087	0.0112
N-acetyl-d-glucosamine	0.0005	-0.0003	-0.0108	-0.0095	0.0005	0.0045	0.0051	0.0022	0.0266	-0.0108	0.0024	-0.0044	0.0291	-0.0004	0.0122	-0.0106	0.1663	-0.0025	0.0094
Glycerol	-0.0206	-0.0085	-0.0493	-0.0342	-0.0441	-0.0148	-0.0054	-0.0059	-0.0584	-0.0205	-0.0093	0.0142	0.0098	-0.0004	0.003	-0.0113	0.1592	0.0005	0.0125
"D,L-malic acid"	0.0343	0.2858	0.204	0.1692	0.1345	0.0016	0.2422	0.0707	0.0877	0.1832	0.0771	0.1837	0.2958	0.143	0.2445	0.2339	0.3262	0.138	0.0514
D-glucosaminic acid	-0.0198	0.0017	-0.0476	-0.0308	-0.0938	-0.0025	-0.0166	-0.0167	-0.0639	-0.014	-0.0009	-0.0102	0.0227	-0.0093	0.0031	-0.0527	0.1625	0.0089	0.0046
D-glucose-1-phosphate	-0.0234	-0.0269	-0.0425	-0.0369	-0.0625	0.0006	-0.0006	-0.0115	-0.0507	-0.0106	-0.0054	0.0025	0.0429	-0.012	0.0035	-0.0075	0.1673	0.0123	0.0026
m-inositol	-0.0309	-0.0299	-0.0447	-0.0417	-0.0609	0.0012	-0.0157	-0.0216	-0.0479	-0.0089	-0.0027	-0.0085	0.022	-0.0013	0.0117	-0.0426	0.1661	0.0163	-0.016
L-serine	-0.0325	0.3138	0.0957	0.2302	-0.0077	0.2298	0.3602	0.3245	0.4935	0.2101	0.0346	0.1435	0.3554	0.1916	0.3727	0.2689	0.4486	0.1445	0.2233
m-hydroxy phenyl acetic acid	0.0357	0.0024	-0.007	-0.0049	0.0017	-0.0109	0.01	-0.0326	-0.0047	-0.0212	0.0268	0.0041	0.0524	-0.0175	-0.0079	-0.0356	0.1864	0.0236	0.011
D-saccharic acid	-0.0147	-0.0203	-0.0308	-0.0144	-0.0126	-0.0033	-0.0148	-0.0167	0.0148	-0.0193	-0.0072	0.0118	0.0444	-0.0176	0.0015	-0.0288	0.1637	0.0008	0.0072
L-fucose	-0.0046	-0.0212	-0.0331	0.5817	-0.0447	-0.0041	-0.0036	-0.0019	-0.0502	-0.0171	-0.0215	-0.0006	0.0184	-0.0137	0.0174	-0.0342	0.1588	0.0006	0.0204
D-ribose	-0.0137	0.0101	-0.0615	-0.047	-0.0336	-0.0226	-0.0359	-0.0299	-0.0727	-0.0169	0.007	-0.0061	0.0137	0.0023	0.0233	-0.0092	0.1673	0.0061	0.0117
"1,2-propanediol"	-0.0134	-0.0096	-0.0425	-0.0261	-0.0538	-0.0006	0.0054	-0.0049	-0.0536	-0.0151	-0.0179	0.0004	-0.0066	-0.0036	0.0135	-0.031	0.1763	0.0119	-0.0245
D-fructose-6-phosphate	-0.0237	-0.0233	-0.0424	-0.0549	-0.0598	-0.02	-0.0115	-0.0305	-0.0555	-0.0312	0.002	2.78E-17	0.0347	-0.0013	0.0013	-0.028	0.1779	0.0123	-0.001
D-threonine	-0.0421	-0.055	-0.0754	-0.0579	-0.045	0.0189	0.3368	-0.0373	0.4286	-0.0261	-0.0169	-0.0134	-0.0048	-0.0154	-0.0156	-0.034	0.1725	0.0098	0.012
L-threonine	-0.0361	0.0454	0.025	-0.0011	-0.0082	0.0137	0.0741	0.0151	0.0158	0.1525	-0.0087	0.0082	0.1059	0.002	0.0031	0.1577	0.1808	0.0584	0.0197
tyramine	0.0035	0.0005	-0.0145	0.0101	0.0029	-0.0142	-0.0017	-0.0398	0.009	-0.0368	-0.0033	0.0164	0.0052	-0.0201	-0.0061	-0.014	0.1861	0.0185	0.0091
succinic acid	0.0552	0.2895	0.1194	0.1785	0.1471	0.0015	0.2341	0.1085	0.2498	0.1987	0.0058	0.203	0.1851	0.0876	0.1735	0.138	0.2847	0.1199	0.0505
D-glucouronic acid	-0.0088	-0.0109	-0.0329	-0.0284	-0.0327	-0.0064	-0.0101	-0.0149	-0.039	-0.0179	-0.0053	0.0001	0.0069	-0.0169	0.0332	-0.0391	0.162	-0.1801	-0.0548
tween 20	0.0606	0.2322	-0.0085	0.0375	0.0672	0.2237	0.3843	0.1006	0.3637	0.1527	0.0275	0.2251	0.2594	0.0322	0.196	0.113	0.307	0.0198	0.1811
tween 40	0.095	0.3351	0.1147	0.1017	0.2141	0.2984	0.3542	0.2485	0.4112	0.1761	0.1584	0.1405	0.2985	0.1025	0.2514	0.2193	0.3975	0.0623	0.0514
