dkw_code	BSA
IC001	0
IC002	1
IC003	0
IC004	0
IC005	1
IC006	1
IC007	0
IC008	0
IC009	0
IC010	0
IC011	
IC012	0
IC013	0
IC014	0
IC015	1
IC016	0
IC017	1
IC018	1
IC019	
IC020	0
IC021	0
IC022	0
IC023	0
IC024	1
IC025	0
IC026	0
IC027	1
IC028	0
IC029	
IC030	0
IC031	0
IC032	0
IC033	0
IC034	1
IC035	0
IC036	0
IC037	0
IC038	0
IC039	0
IC040	0
IC041	0
IC042	1
IC043	0
IC044	0
IC045	0
IC046	0
IC047	0
IC048	0
IC049	0
IC050	0
IC051	0
IC052	0
IC053	0
IC054	
IC055	
IC056	0
IC057	0
IC058	0
IC059	0
IC060	0
IC061	0
IC062	0
IC063	0
IC064	0
IC065	0
IC066	0
IC067	0
IC068	0
IC069	0
IC070	0
IC071	0
IC072	0
IC073	0
IC074	0
IC075	0
IC076	0
IC077	1
IC080	0
IC082	0
IC083	0
IC084	0
IC085	0
IC086	0
IC087	0
IC088	0
IC089	1
IC090	0
IC091	1
IC092	1
IC093	1
