"strainID"	"COG_category"	"frequency"	"frequency_w_multiCOG_proteins"	"corrected_frequency"	"ecotype_rev"	"GeneNumber"	"finalCOGproportion"
"adeliensis_001"	"A"	1	0	1	"restricted"	2572	0.000388802488335925
"aestuarii_044"	"A"	2	0	2	"flexible"	2353	0.000849978750531237
"alimentarius_002"	"A"	2	0	2	"restricted"	2806	0.000712758374910905
"alimentarius_024"	"A"	2	0	2	"restricted"	2795	0.000715563506261181
"aquaticus_003"	"A"	2	0	2	"restricted"	2698	0.000741289844329133
"aquimaris_025"	"A"	2	0	2	"restricted"	2937	0.000680966973101805
"arcticus_004"	"A"	1	0	1	"restricted"	2165	0.00046189376443418
"arenosus_005"	"A"	3	0	3	"flexible"	2930	0.00102389078498294
"celer_006"	"A"	1	0	1	"flexible"	2477	0.00040371417036738
"cibarius_007"	"A"	2	0	2	"restricted"	2653	0.000753863550697324
"cibarius_026"	"A"	2	0	2	"restricted"	2973	0.00067272115708039
"ciconiae_008"	"A"	1	0	1	"flexible"	2167	0.000461467466543609
"cryohalolentis_009"	"A"	1	0	1	"restricted"	2493	0.000401123144805455
"faecalis_023"	"A"	1	0	1	"flexible"	2677	0.000373552484124019
"faecalis_087"	"A"	1	0	1	"flexible"	2548	0.000392464678178964
"fjordensis_054"	"A"	2	0	2	"restricted"	2796	0.000715307582260372
"fozii_021"	"A"	2	0	2	"flexible"	2846	0.000702740688685875
"frigidicola_010"	"A"	1	0	1	"restricted"	2385	0.000419287211740042
"frigidicola_056"	"A"	1	0	1	"restricted"	2327	0.000429737859905458
"fulvigenes_045"	"A"	1	0	1	"flexible"	2995	0.000333889816360601
"glaciei_055"	"A"	1	0	1	"restricted"	2772	0.000360750360750361
"glacincola_011"	"A"	1	0	1	"restricted"	2645	0.000378071833648393
"glacincola_057"	"A"	2	0	2	"restricted"	2878	0.000694927032661571
"immobilis_012"	"A"	2	0	2	"restricted"	2676	0.000747384155455904
"immobilis_058"	"A"	1	0	1	"restricted"	2978	0.000335795836131632
"immobilis_059"	"A"	2	0	2	"restricted"	2914	0.000686341798215511
"immobilis_060"	"A"	1	0	1	"restricted"	2664	0.000375375375375375
"immobilis_061"	"A"	2	0	2	"restricted"	2889	0.000692281066112842
"immobilis_062"	"A"	1	0	1	"restricted"	2607	0.000383582662063675
"immobilis_063"	"A"	1	0	1	"restricted"	2914	0.000343170899107756
"immobilis_064"	"A"	1	0	1	"restricted"	2753	0.000363240101707228
"immobilis_065"	"A"	1	0	1	"restricted"	2897	0.000345184673800483
"immobilis_066"	"A"	2	0	2	"restricted"	2792	0.000716332378223496
"immobilis_067"	"A"	1	0	1	"restricted"	2508	0.000398724082934609
"immobilis_068"	"A"	2	0	2	"restricted"	2910	0.000687285223367698
"immobilis_069"	"A"	2	0	2	"restricted"	2844	0.00070323488045007
"immobilis_070"	"A"	2	0	2	"restricted"	2894	0.000691085003455425
"immobilis_071"	"A"	1	0	1	"flexible"	2626	0.000380807311500381
"immobilis_072"	"A"	1	0	1	"restricted"	2591	0.000385951370127364
"immobilis_073"	"A"	2	0	2	"restricted"	2774	0.000720980533525595
"immobilis_074"	"A"	2	0	2	"restricted"	2761	0.000724375226367258
"immobilis_075"	"A"	1	0	1	"restricted"	2708	0.000369276218611521
"immobilis_076"	"A"	1	0	1	"restricted"	2612	0.000382848392036753
"jeotgali_027"	"A"	1	0	1	"flexible"	2618	0.000381970970206264
"luti_022"	"A"	1	0	1	"restricted"	2431	0.000411353352529823
"lutiphocae_013"	"A"	1	0	1	"flexible"	2582	0.000387296669248644
"marincola_014"	"A"	1	0	1	"restricted"	2526	0.000395882818685669
"maritimus_015"	"A"	1	0	1	"flexible"	2591	0.000385951370127364
"maritimus_028"	"A"	1	0	1	"flexible"	2594	0.00038550501156515
"namhaensis_029"	"A"	1	0	1	"restricted"	2451	0.000407996736026112
"nivimaris_030"	"A"	1	0	1	"restricted"	2809	0.000355998576005696
"oceani_047"	"A"	2	0	2	"flexible"	2513	0.000795861520095503
"okhotskensis_031"	"A"	2	0	2	"restricted"	2830	0.000706713780918728
"okhotskensis_080"	"A"	2	0	2	"restricted"	2832	0.000706214689265537
"pacificensis_032"	"A"	2	0	2	"flexible"	2737	0.000730727073438071
"phenylpyruvicus_090"	"A"	1	0	1	"flexible"	2721	0.000367511944138185
"piscatorii_048"	"A"	2	0	2	"flexible"	2961	0.000675447483958122
"priscuii_086"	"A"	1	0	1	"flexible"	2528	0.000395569620253165
"proteolyticus_016"	"A"	1	0	1	"restricted"	2503	0.000399520575309628
