DATASET_HEATMAP
SEPARATOR SPACE
DATASET_LABEL temperature
COLOR #ff0000
FIELD_LABELS LB MM
COLOR_NAN #eae8e8
USE_MID_COLOR 1
COLOR_MIN #ffffff
COLOR_MAX #D0A215
COLOR_MID #ECD797
FIELD_TREE (LB:0.1736719206,MM:0.1736719206);
DATA
P_adeliensis_SJ14 0.666666666666667 0.5
P_aestuarii_SC35 0.916666666666667 1
P_alimentarius_JG100 0.666666666666667 0.583333333333333
P_alimentarius_JG102 0.666666666666667 0.583333333333333
P_aquaticus_CMS56 0.541666666666667 0.5
P_aquimaris_SW-210 0.666666666666667 0.5
P_arcticus_273-4 0.5 0
P_arenosus_R7 0.666666666666667 0.416666666666667
P_celer_SW-238 0.916666666666667 0.0833333333333333
P_cibarius_JG-219 0.5 0.416666666666667
P_cibarius_JG-220 0.666666666666667 0.333333333333333
P_ciconiae_176-10 0.75 0.25
P_cryohalolentis_K5 0.5 0.208333333333333
P_faecalis_Iso-46 0.833333333333333 0.333333333333333
P_faecalis_PBFP-1 0.833333333333333 0.5
P_fjordensis_BSw21516B 0.5 0.583333333333333
P_fozii_NF23 0.458333333333333 0.583333333333333
P_frigidicola_ACAM304 0.166666666666667 0.166666666666667
P_frigidicola_ACAM309 0.333333333333333 0
P_fulvigenes_KC-40 0.666666666666667 0.166666666666667
P_glaciei_Blc20019 0.416666666666667 0.5
P_glacincola_1447 0.666666666666667 0.25
P_glacincola_ACAM483 0.416666666666667 0.166666666666667
P_immobilis_1159 0.333333333333333 0.25
P_immobilis_1184 0.333333333333333 0.166666666666667
P_immobilis_1347 0.416666666666667 0
P_immobilis_1555 0.583333333333333 0.25
P_immobilis_1617 0.5 0.25
P_immobilis_1745 0.583333333333333 0.166666666666667
P_immobilis_252 0.333333333333333 0.5
P_immobilis_A-11 0.5 0.333333333333333
P_immobilis_A-19 0.583333333333333 0.416666666666667
P_immobilis_A1007 0.583333333333333 0.166666666666667
P_immobilis_A1014 0.333333333333333 0.333333333333333
P_immobilis_A351 0.666666666666667 0.333333333333333
P_immobilis_A352 0.5 0.5
P_immobilis_Liston1000 0.416666666666667 0.0833333333333333
P_immobilis_NC10 0.5 0.5
P_immobilis_NCIMB357 0.5 0.333333333333333
P_immobilis_NCIMB361 0.5 0.333333333333333
P_immobilis_NCIMB362 0.583333333333333 0.166666666666667
P_immobilis_S3 0.5 0.166666666666667
P_jeotgali_YKJ-103 0.666666666666667 0.25
P_luti_NF11 0.5 0.166666666666667
P_lutiphocae_IMMIBL-1110 0.583333333333333 0.333333333333333
P_marincola_KMM227 0.5 0.5
P_maritimus_Pi2-20 0.75 0.333333333333333
P_maritimus_Pi2-25 0.75 0.5
P_namhaensis_SW-242 0.5 0
P_nivimaris_88-2-7 0.666666666666667 0
P_oceani_4k5 0.75 0
P_okhotskensis_A1004 0.5 0.0833333333333333
P_okhotskensis_MD17 0.583333333333333 0.0833333333333333
P_pacificensis_NIBH-P2K6 0.583333333333333 0
P_phenylpyruvicus_ACAM535 0.583333333333333 0.25
P_piscatorii_T-3-2 0.666666666666667 0.25
P_priscuii_LFX-15B1 0.583333333333333 0.5
P_proteolyticus_116 0.583333333333333 0.583333333333333
P_pulmonis_ES2-W5a2 0.833333333333333 0.416666666666667
P_pulmonis_S-606 0.833333333333333 0.333333333333333
P_salsus_DD48 0.333333333333333 0.0833333333333333
P_sanguinis_10070 0.666666666666667 0.25
P_sanguinis_13983 0.666666666666667 0.25
P_sanguinis_1501 0.666666666666667 0
P_sanguinis_92 0.666666666666667 0.166666666666667
P_sp_1044 0.583333333333333 0.333333333333333
P_sp_2pS 0.666666666666667 0.583333333333333
P_sp_72-O-c 0.166666666666667 0
P_sp_CMS30 0.666666666666667 0.5
P_sp_DD43 0.416666666666667 0.166666666666667
P_sp_H7-1 0.666666666666667 0.166666666666667
P_sp_H8-1 0.458333333333333 0.125
P_sp_HII-4 0.75 0.166666666666667
P_sp_IAM12030-72-O-c 0.333333333333333 0
P_sp_JCM18900 0.666666666666667 0.583333333333333
P_sp_JCM18902 0.5 0.25
P_sp_JCM18903 0.583333333333333 0.166666666666667
P_sp_NC44 0.583333333333333 0.333333333333333
P_sp_Pi2-1 0.583333333333333 0
P_sp_Pi2-51 0.583333333333333 0.583333333333333
P_sp_Pi2-52 0.666666666666667 0.0833333333333333
P_submarinus_KMM225 0.0833333333333333 0
P_urativorans_ACAM311 0.166666666666667 0
P_urativorans_ACAM534 0.333333333333333 0.0833333333333333
P_vallis_CMS39 0.5 0.5
