geneCluster	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GC00000001_10	436717.AOLE_09705	1.2e-273	947.6		GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0005575,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0010876,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0022892,GO:0031224,GO:0033036,GO:0034040,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06147,K18889		bactNOG[38]	05BZ1@bactNOG,0QZTN@gproNOG,174BZ@proNOG,COG1132@NOG	NA|NA|NA	V	(ABC) transporter
GC00000001_11	391008.Smal_2046	1.9e-112	411.8			K06147		bactNOG[38]	08JJ7@bactNOG,173BN@proNOG,COG5265@NOG	NA|NA|NA	V	(ABC) transporter
GC00000001_12	1002672.SAR11G3_01318	7.2e-73	280.4	ATM1	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0031224,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K06147		bactNOG[38]	02EFC@aproNOG,08JJ7@bactNOG,173BM@proNOG,COG5265@NOG	NA|NA|NA	V	ABC transporter
GC00000001_13	871585.BDGL_002704	2.6e-128	464.5			K06147		bactNOG[38]	06NG7@bactNOG,17YHX@proNOG,COG2274@NOG	NA|NA|NA	V	ABC transporter, (ATP-binding protein)
GC00000001_14	1005048.CFU_3473	1.7e-235	820.8	CVAB		K13409		bactNOG[38]	08JJA@bactNOG,0BRQU@bproNOG,173BW@proNOG,COG2274@NOG	NA|NA|NA	V	Colicin V processing peptidase
GC00000001_15	349106.PsycPRwf_0760	3.9e-286	989.2	CYDC		K06147,K12541,K12542,K16012		bactNOG[38]	08JJA@bactNOG,0RB05@gproNOG,173BW@proNOG,COG2274@NOG	NA|NA|NA	V	AtP-binding protein
GC00000001_16	553217.ENHAE0001_0175	3.3e-39	167.2	YBBL		K02068,K06148		bactNOG[38]	083J0@bactNOG,0QHX7@gproNOG,17631@proNOG,COG4619@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_17	553217.ENHAE0001_0175	2.8e-124	449.9	YBBL		K02068,K06148		bactNOG[38]	083J0@bactNOG,0QHX7@gproNOG,17631@proNOG,COG4619@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_18	553217.ENHAE0001_0175	1.1e-47	195.3	YBBL		K02068,K06148		bactNOG[38]	083J0@bactNOG,0QHX7@gproNOG,17631@proNOG,COG4619@NOG	NA|NA|NA	S	abc transporter atp-binding protein
GC00000001_19	857571.EA1_06586	5.8e-123	445.7	BMUL_0474	GO:0003674,GO:0003824,GO:0005215,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016820,GO:0016887,GO:0017111,GO:0019439,GO:0019637,GO:0019693,GO:0022804,GO:0022857,GO:0034641,GO:0034655,GO:0042278,GO:0042454,GO:0042623,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658	K05833		bactNOG[38]	05DB0@bactNOG,0QNN1@gproNOG,16QC8@proNOG,COG1101@NOG	NA|NA|NA	S	abc transporter atp-binding protein
