geneCluster	Gene	Annotation	Min.group.size	Max.group.size	Avg.group.size	num_isolates	num_sequences	av_seq_per_isolate	num_basal_isolates	num_basal_seq	num_derived_isolates	num_derived_seq	num_flex_isolates	num_flex_seq	num_restricted_isolates	num_restricted_seq	GO_terms	KEGG_KOs	COG.cat	eggNOG.annot
GC00001092	orn	Oligoribonuclea	193	205	195.4367816	85	85	1	7	7	78	78	27	27	58	58	"GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004532,GO:0004536,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008296,GO:0008297,GO:0008310,GO:0008408,GO:0008946,GO:0009056,GO:0009057,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0016896,GO:0019439,GO:0034611,GO:0034641,GO:0034655,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901361,GO:1901575"	K13288	A	3'-to-5' exoribonuclease specific for small oligoribonucleotides (By similarity)
GC00002101	rtcA	RNA_3'-terminal_phosphate_cycla	362	385	368.875	32	32	0.37647059	0	0	32	32	6	6	26	26	"GO:0003674,GO:0003824,GO:0003963,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0009975,GO:0016874,GO:0016886,GO:0044424,GO:0044464"	K01974	A	"Catalyzes the conversion of 3'-phosphate to a 2',3'- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps (A) adenylation of the enzyme by ATP"
GC00005595	rnlA	mRNA_endoribonuclease_toxin_LS	353	353	353	1	1	0.01176471	0	0	1	1	0	0	1	1	"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0016070,GO:0016071,GO:0016787,GO:0016788,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901361,GO:1901575"	NA	A	"Toxic component of a toxin-antitoxin (TA) module. A stable (half-life 27.6 minutes) endoribonuclease that in the absence of cognate antitoxin RnlB causes generalized RNA degradation. Degrades late enterobacteria phage T4 mRNAs, protecting the host against T4 reproduction. Activity is inhibited by cognate antitoxin RnlB and by enterobacteria phage T4 protein Dmd. Targets cyaA mRNA"
GC00005981	hypothetical	NA	103	103	103	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000494,GO:0003674,GO:0003676,GO:0003723,GO:0004857,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0006139,GO:0006275,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008156,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010521,GO:0010556,GO:0010558,GO:0010605,GO:0010639,GO:0016070,GO:0016074,GO:0019219,GO:0019222,GO:0022613,GO:0030234,GO:0031123,GO:0031126,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032204,GO:0032205,GO:0032210,GO:0032211,GO:0032844,GO:0032845,GO:0033043,GO:0033044,GO:0033967,GO:0034470,GO:0034641,GO:0034660,GO:0034963,GO:0042254,GO:0043086,GO:0043144,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043628,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051052,GO:0051053,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051338,GO:0051348,GO:0051972,GO:0051974,GO:0060255,GO:0065007,GO:0065009,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:2000112,GO:2000113,GO:2001251"	K11135	A	"Involved in rRNA-processing at A0, A1 and A2 sites and regulates negatively telomerase (By similarity)"
GC00006362	hypothetical	NA	1119	1119	1119	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	NA	"B, K"	Ankyrin Repeat Protein
GC00000401_3	hypothetical	NA	77	308	294.6	85	85	1	7	7	78	78	27	27	58	58	NA	NA	"B, Q"	histone deacetylase
GC00001840_3	aphA	Acetylpolyamine_amidohydrola	71	356	326.4	43	49	0.57647059	1	1	42	48	14	18	29	31	"GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006598,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009308,GO:0009310,GO:0009987,GO:0016787,GO:0034641,GO:0042402,GO:0044106,GO:0044237,GO:0071704,GO:1901564,GO:1901565,GO:1901575"	NA	"B, Q"	Histone deacetylase
GC00001840_2	hdaH	Histone_deacetylase-like_amidohydrola	171	369	319.5	3	3	0.03529412	0	0	3	3	1	1	2	2	NA	NA	"B, Q"	histone deacetylase
GC00000401_1	Histone	acetylase-like_amidohydrola	175	369	272	2	2	0.02352941	0	0	2	2	0	0	2	2	NA	NA	"B, Q"	histone deacetylase
GC00000401_2	hdaH	Histone_deacetylase-like_amidohydrola	366	372	369	2	2	0.02352941	0	0	2	2	0	0	2	2	NA	NA	"B, Q"	histone deacetylase
