"strainID"	"Genome.Length"	"GC"	"Coding.density"	"CDS.Number"	"rRNA.Number"	"tRNA.Number"	"tmRNA.Number"	"Number.of.Repeat.Regions"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"Contig.Number"	"genus"
"Acinetobacter_baumanni"	4335793	39	87.91	4282	18	74	1	0	100	0.82	16.67	1	"Acinetobacter"
"Acinetobacter_boissieri"	2690205	38	88.34	2492	3	59	1	0	99.86	0	0	29	"Acinetobacter"
"Acinetobacter_calcoaceticus"	4115994	38.7	87.16	3812	18	65	1	0	100	5.75	100	2	"Acinetobacter"
"Acinetobacter_celticus"	3093802	39.3	85.06	2912	8	70	1	1	99.86	0.33	0	15	"Acinetobacter"
"Acinetobacter_colistiniresistens"	3897684	41.3	87.25	3610	11	63	1	0	100	0.27	0	11	"Acinetobacter"
"Acinetobacter_courvalinii"	3952215	42.7	87.64	3613	9	68	1	0	100	1.14	16.67	71	"Acinetobacter"
"Acinetobacter_dispersus"	4024840	40.7	87.64	3715	18	74	1	0	100	0.28	0	1	"Acinetobacter"
"Acinetobacter_equi"	3054269	34.9	85.53	2820	21	87	1	0	99.66	0.76	40	1	"Acinetobacter"
"Acinetobacter_gandensis"	3176356	39.7	85.85	2984	9	74	1	0	99.66	0.41	0	30	"Acinetobacter"
"Acinetobacter_gyllenbergii"	4551346	40.8	83.05	4238	10	54	1	2	98.26	0.48	0	13	"Acinetobacter"
"Acinetobacter_indicus"	3211639	45.4	85.46	2984	26	83	1	0	99.93	0.86	0	17	"Acinetobacter"
"Acinetobacter_kookii"	3085401	43	85.42	2874	9	70	1	0	99.93	0	0	22	"Acinetobacter"
"Acinetobacter_piscicola"	3576146	37.2	84.97	3256	3	71	1	0	100	0.32	0	60	"Acinetobacter"
"Acinetobacter_proteolyticus"	4374650	41.1	88.03	4098	8	63	1	1	100	0.63	0	36	"Acinetobacter"
"Acinetobacter_puyangensis"	3781219	40.2	87.33	3425	3	59	1	3	100	1.72	0	35	"Acinetobacter"
"Acinetobacter_radioresistens"	3195486	41.7	85.39	2947	14	64	1	3	100	0	0	13	"Acinetobacter"
"Acinetobacter_schindleri"	3268053	42.6	84.5	3080	21	84	1	0	100	0.4	0	7	"Acinetobacter"
"Acinetobacter_venetianus"	3544508	39.1	86.46	3402	20	74	1	2	94.98	0	0	2	"Acinetobacter"
"Moraxella_atlantae"	2376541	48	86.68	2075	3	45	1	4	99.22	0	0	81	"Moraxella"
"Moraxella_boevrei"	2427214	40.1	88.02	2283	7	42	1	1	99.81	0	0	43	"Moraxella"
"Moraxella_bovis"	2911207	43.9	85.36	2918	12	50	1	2	97.54	1.65	28.57	3	"Moraxella"
"Moraxella_bovoculi"	2243615	45.4	86.86	2119	12	49	1	5	98.3	0.57	40	2	"Moraxella"
"Moraxella_canis"	2143754	45.1	87.85	1935	3	44	1	3	99.73	0.55	0	19	"Moraxella"
"Moraxella_caprae"	2602231	44.4	85.41	2488	4	40	1	1	96.58	1.01	0	103	"Moraxella"
"Moraxella_catarrhalis"	1863286	41.7	85.41	1669	12	50	1	2	100	0.27	0	1	"Moraxella"
"Moraxella_caviae"	2498097	47	82.82	2216	3	47	1	3	97.53	0.82	0	118	"Moraxella"
"Moraxella_cuniculi"	2303370	44.3	86.14	2132	3	44	1	1	98.9	0.27	0	47	"Moraxella"
"Moraxella_equi"	2971068	43.8	84.84	3035	12	48	1	1	97.21	0.82	66.67	4	"Moraxella"
