"strainID"	"genecluster_num"	"lowerPCAT"	"highPCAT"	"proportion_more_to_less"	"percent_highPCAT"	"percent_lowerPCAT"	"ecotype"	"propername"
"adeliensis_001"	2260	1305	881	0.675095785440613	0.389823008849558	0.577433628318584	"RE"	"P_adeliensis_SJ14"
"aestuarii_044"	2015	1330	596	0.44812030075188	0.295781637717122	0.660049627791563	"FE"	"P_aestuarii_SC35"
"alimentarius_002"	2406	1442	884	0.613037447988904	0.367414796342477	0.599334995843724	"RE"	"P_alimentarius_JG100"
"alimentarius_024"	2391	1437	871	0.606123869171886	0.364282726892514	0.601003764115433	"RE"	"P_alimentarius_JG102"
"aquaticus_003"	2315	1347	898	0.666666666666667	0.387904967602592	0.581857451403888	"RE"	"P_aquaticus_CMS56"
"aquimaris_025"	2517	1439	999	0.694232105628909	0.396901072705602	0.57171235597934	"RE"	"P_aquimaris_SW-210"
"arcticus_004"	1869	1061	751	0.707822808671065	0.401819154628143	0.567683253076511	"RE"	"P_arcticus_273-4"
"arenosus_005"	2503	1561	850	0.544522741832159	0.339592489013184	0.62365161805833	"FE"	"P_arenosus_R7"
"celer_006"	2153	1371	706	0.514952589350839	0.327914537854157	0.636785880167208	"FE"	"P_celer_SW-238"
"cibarius_007"	2286	1316	895	0.680091185410334	0.391513560804899	0.575678040244969	"RE"	"P_cibarius_JG-219"
"cibarius_026"	2546	1379	1090	0.79042784626541	0.428122545168892	0.541633935585232	"RE"	"P_cibarius_JG-220"
"ciconiae_008"	1877	1106	717	0.648282097649186	0.381992541289291	0.589238145977624	"FE"	"P_ciconiae_176-10"
"cryohalolentis_009"	2181	1256	861	0.685509554140127	0.394773039889959	0.57588262265016	"RE"	"P_cryohalolentis_K5"
"faecalis_023"	2334	1349	916	0.679021497405486	0.392459297343616	0.577977720651243	"FE"	"P_faecalis_PBFP-1"
"faecalis_087"	2215	1328	820	0.617469879518072	0.37020316027088	0.599548532731377	"FE"	"P_faecalis_Iso-46"
"fjordensis_054"	2382	1316	981	0.745440729483283	0.41183879093199	0.55247691015953	"RE"	"P_fjordensis_BSw21516B"
"fozii_021"	2439	1353	1012	0.747967479674797	0.414924149241492	0.554735547355474	"FE"	"P_fozii_NF23"
"frigidicola_010"	2044	1181	790	0.668924640135478	0.386497064579256	0.577788649706458	"RE"	"P_frigidicola_ACAM304"
"frigidicola_056"	1999	1142	794	0.695271453590193	0.39719859929965	0.571285642821411	"RE"	"P_frigidicola_ACAM309"
"fulvigenes_045"	2640	1600	959	0.599375	0.363257575757576	0.606060606060606	"FE"	"P_fulvigenes_KC-40"
"glaciei_055"	2398	1384	933	0.674132947976879	0.38907422852377	0.577147623019183	"RE"	"P_glaciei_Blc20019"
"glacincola_011"	2316	1297	954	0.735543562066307	0.411917098445596	0.560017271157167	"RE"	"P_glacincola_ACAM483"
"glacincola_057"	2469	1343	1046	0.77885331347729	0.423653300931551	0.543944916970433	"RE"	"P_glacincola_1447"
"immobilis_012"	2337	1360	900	0.661764705882353	0.385109114249037	0.581942661531878	"RE"	"P_immobilis_A351"
"immobilis_058"	2508	1412	1014	0.718130311614731	0.404306220095694	0.562998405103668	"RE"	"P_immobilis_A1007"
"immobilis_059"	2517	1425	1011	0.709473684210526	0.401668653158522	0.566150178784267	"RE"	"P_immobilis_1555"
"immobilis_060"	2336	1354	904	0.667651403249631	0.386986301369863	0.579623287671233	"RE"	"P_immobilis_Liston1000"
"immobilis_061"	2496	1411	1006	0.712969525159461	0.403044871794872	0.565304487179487	"RE"	"P_immobilis_1617"
"immobilis_062"	2286	1356	859	0.633480825958702	0.375765529308836	0.593175853018373	"RE"	"P_immobilis_1745"
"immobilis_063"	2483	1371	1041	0.759299781181619	0.419250906161901	0.552154651631091	"RE"	"P_immobilis_NC10"
"immobilis_064"	2346	1348	925	0.68620178041543	0.394288150042626	0.57459505541347	"RE"	"P_immobilis_252"
"immobilis_065"	2450	1387	979	0.705839942321557	0.399591836734694	0.566122448979592	"RE"	"P_immobilis_1159"
"immobilis_066"	2391	1305	1023	0.783908045977011	0.427854454203262	0.545796737766625	"RE"	"P_immobilis_1184"
"immobilis_067"	2195	1343	790	0.588235294117647	0.359908883826879	0.611845102505695	"RE"	"P_immobilis_1347"
"immobilis_068"	2523	1437	1003	0.697981906750174	0.397542608006342	0.569560047562426	"RE"	"P_immobilis_A1014"
"immobilis_069"	2399	1340	982	0.732835820895522	0.409337223843268	0.558566069195498	"RE"	"P_immobilis_NCIMB357"
"immobilis_070"	2444	1370	996	0.727007299270073	0.407528641571195	0.560556464811784	"RE"	"P_immobilis_NCIMB361"
"immobilis_071"	2285	1326	894	0.67420814479638	0.391247264770241	0.580306345733042	"FE"	"P_immobilis_NCIMB362"
"immobilis_072"	2228	1245	916	0.73574297188755	0.41113105924596	0.558797127468582	"RE"	"P_immobilis_A-11"
"immobilis_073"	2390	1373	940	0.68463219227968	0.393305439330544	0.574476987447699	"RE"	"P_immobilis_A-19"
"immobilis_074"	2398	1380	947	0.686231884057971	0.394912427022519	0.575479566305254	"RE"	"P_immobilis_A352"
"immobilis_075"	2283	1300	906	0.696923076923077	0.396846254927727	0.569426193604906	"RE"	"P_immobilis_S3"
"immobilis_076"	2255	1329	856	0.644093303235515	0.37960088691796	0.589356984478936	"RE"	"P_sp_72-O-c"
"jeotgali_027"	2316	1400	830	0.592857142857143	0.358376511226252	0.604490500863558	"FE"	"P_jeotgali_YKJ-103"
"luti_022"	2093	1222	806	0.659574468085106	0.385093167701863	0.583850931677019	"RE"	"P_luti_NF11"
"lutiphocae_013"	2249	1359	815	0.599705665930832	0.362383281458426	0.604268563806136	"FE"	"P_lutiphocae_IMMIBL-1110"
"marincola_014"	2218	1307	838	0.641162968630451	0.377817853922453	0.5892696122633	"RE"	"P_marincola_KMM227"
"maritimus_015"	2251	1310	872	0.665648854961832	0.38738338516215	0.581963571745891	"FE"	"P_maritimus_Pi2-25"
"maritimus_028"	2259	1285	909	0.707392996108949	0.402390438247012	0.568835768038955	"FE"	"P_maritimus_Pi2-20"
"namhaensis_029"	2130	1314	737	0.560882800608828	0.346009389671362	0.616901408450704	"RE"	"P_namhaensis_SW-242"
"nivimaris_030"	2428	1421	932	0.655876143560873	0.383855024711697	0.585255354200989	"RE"	"P_nivimaris_88-2-7"
"oceani_047"	2197	1318	802	0.608497723823976	0.365043240782886	0.599908966772872	"FE"	"P_oceani_4k5"
