"strainID"	"COG_category"	"frequency"
"P_adeliensis_SJ14"	"A"	1
"P_aestuarii_SC35"	"A"	2
"P_alimentarius_JG100"	"A"	2
"P_alimentarius_JG102"	"A"	2
"P_aquaticus_CMS56"	"A"	2
"P_aquimaris_SW-210"	"A"	2
"P_arcticus_273-4"	"A"	1
"P_arenosus_R7"	"A"	3
"P_celer_SW-238"	"A"	1
"P_cibarius_JG-219"	"A"	2
"P_cibarius_JG-220"	"A"	2
"P_ciconiae_176-10"	"A"	1
"P_cryohalolentis_K5"	"A"	1
"P_faecalis_Iso-46"	"A"	1
"P_faecalis_PBFP-1"	"A"	1
"P_fjordensis_BSw21516B"	"A"	2
"P_fozii_NF23"	"A"	2
"P_frigidicola_ACAM304"	"A"	1
"P_frigidicola_ACAM309"	"A"	1
"P_fulvigenes_KC-40"	"A"	1
"P_glaciei_Blc20019"	"A"	1
"P_glacincola_1447"	"A"	2
"P_glacincola_ACAM483"	"A"	1
"P_immobilis_1159"	"A"	1
"P_immobilis_1184"	"A"	2
"P_immobilis_1347"	"A"	1
"P_immobilis_1555"	"A"	2
"P_immobilis_1617"	"A"	2
"P_immobilis_1745"	"A"	1
"P_immobilis_252"	"A"	1
"P_immobilis_A-11"	"A"	1
"P_immobilis_A-19"	"A"	2
"P_immobilis_A1007"	"A"	1
"P_immobilis_A1014"	"A"	2
"P_immobilis_A351"	"A"	2
"P_immobilis_A352"	"A"	2
"P_immobilis_Liston1000"	"A"	1
"P_immobilis_NC10"	"A"	1
"P_immobilis_NCIMB357"	"A"	2
"P_immobilis_NCIMB361"	"A"	2
"P_immobilis_NCIMB362"	"A"	1
"P_immobilis_S3"	"A"	1
"P_jeotgali_YKJ-103"	"A"	1
"P_luti_NF11"	"A"	1
"P_lutiphocae_IMMIBL-1110"	"A"	1
"P_marincola_KMM227"	"A"	1
"P_maritimus_Pi2-20"	"A"	1
"P_maritimus_Pi2-25"	"A"	1
"P_namhaensis_SW-242"	"A"	1
"P_nivimaris_88-2-7"	"A"	1
"P_oceani_4k5"	"A"	2
"P_okhotskensis_A1004"	"A"	2
"P_okhotskensis_MD17"	"A"	2
"P_pacificensis_NIBH-P2K6"	"A"	2
"P_phenylpyruvicus_ACAM535"	"A"	1
"P_piscatorii_T-3-2"	"A"	2
"P_priscuii_LFX-15B1"	"A"	1
"P_proteolyticus_116"	"A"	1
"P_pulmonis_ES2-W5a2"	"A"	1
"P_pulmonis_S-606"	"A"	1
"P_salsus_DD48"	"A"	1
"P_sanguinis_10070"	"A"	1
"P_sanguinis_13983"	"A"	1
"P_sanguinis_1501"	"A"	1
"P_sanguinis_92"	"A"	1
"P_sp_1044"	"A"	3
"P_sp_2pS"	"A"	2
"P_sp_72-O-c"	"A"	1
"P_sp_CMS30"	"A"	1
"P_sp_DD43"	"A"	1
"P_sp_H7-1"	"A"	1
"P_sp_H8-1"	"A"	1
"P_sp_HII-4"	"A"	1
"P_sp_IAM12030_72-O-c"	"A"	1
"P_sp_JCM18900"	"A"	1
"P_sp_JCM18902"	"A"	2
"P_sp_JCM18903"	"A"	2
"P_sp_NC44"	"A"	2
"P_sp_Pi2-1"	"A"	1
"P_sp_Pi2-51"	"A"	1
"P_sp_Pi2-52"	"A"	1
"P_submarinus_KMM225"	"A"	1
"P_urativorans_ACAM311"	"A"	1
"P_urativorans_ACAM534"	"A"	2
"P_vallis_CMS39"	"A"	2
"P_adeliensis_SJ14"	"B, K"	0
"P_aestuarii_SC35"	"B, K"	0
"P_alimentarius_JG100"	"B, K"	0
"P_alimentarius_JG102"	"B, K"	0
"P_aquaticus_CMS56"	"B, K"	0
"P_aquimaris_SW-210"	"B, K"	0
"P_arcticus_273-4"	"B, K"	0
"P_arenosus_R7"	"B, K"	0
"P_celer_SW-238"	"B, K"	0
"P_cibarius_JG-219"	"B, K"	0
"P_cibarius_JG-220"	"B, K"	0
"P_ciconiae_176-10"	"B, K"	0
"P_cryohalolentis_K5"	"B, K"	0
